tag,release_date,frontier_score,best_model,best_family,best_model_release_date,is_new_frontier
Logical-Control,2023-09-06,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-09-06,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-09-06,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-09-06,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-09-06,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-09-27,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-09-27,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-09-27,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-09-27,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-09-27,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-09-27,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-10-10,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-10-10,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-10-10,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-10-10,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-10-10,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-10-10,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-11-02,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-11-02,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-11-02,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-11-02,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-11-02,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-11-02,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-11-06,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-11-06,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-11-06,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-11-06,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-11-06,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-11-06,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-12-06,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-12-06,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-12-06,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-12-06,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-12-06,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-12-06,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-12-11,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
